SMILES;type
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O=S(=O)([O-])OC[C@H]1O[C@@](COS(=O)(=O)[O-])(O[C@H]2O[C@H](COS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-].[Al+].[Al+].[Al+].[Al+].[Al+].[Al+].[Al+].[Al+].[Al];SPE
CC(C)(N)CO.Cn1c(=O)c2nc(Br)[nH]c2n(C)c1=O;SPE
N#Cc1c(N(CC(=O)[O-])CC(=O)[O-])sc(C(=O)[O-])c1CC(=O)[O-].[Sr+2].[Sr+2];SPE
CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O;SPE
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21;SPE
CCCCCCCCCCCCOS(=O)(=O)[O-];SPE
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1;SPE
I.[K];SPE
Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1;SPE
CCCCCCc1ccc(O)cc1O.N=c1c2ccccc2[nH]c2ccccc12;SPE
O=C(O)CC(O)(CC(=O)O)C(=O)O.[Li].[Li].[Li];SPE
O=C(O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;SPE
OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O;SPE
Brc1cc2c(cc1[C@@H]1Nc3ccccc3[C@@H]3C=CC[C@@H]31)OCO2.Brc1cc2c(cc1[C@H]1Nc3ccccc3[C@H]3C=CC[C@H]31)OCO2;SPE
N[C@@]1(C(=O)O)CC[C@H](C(=O)O)C1.N[C@]1(C(=O)O)CC[C@@H](C(=O)O)C1;SPE
C=CCN.ClCC1CO1;SPE
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2.CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2;SPE
N=C(S)N/N=C/c1coc2ccccc2c1=O;SPE
Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+];SPE
Cl.c1ccc(C2CNCc3ccccc32)cc1;SPE
N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1;SPE
CC(C)(O)CC(=O)O.CC(C)(O)CC(=O)O;SPE
CCS(=O)(=O)N(C)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O.CCS(=O)(=O)N(C)[C@H]1c2cc(C#N)ccc2OC(C)(C)[C@@H]1O;SPE
C=CC(=O)[O-].[Na+];SPE
Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F;SPE
Cc1cc2c(cc1C(F)(F)F)N(C(O)=Nc1ccc(Oc3cccnc3C)nc1)CC2;SPE
COc1cc(N=c2c(C#N)c[nH]c3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl;SPE
CCCCCCc1ccc(O)cc1O;SPE
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1;SPE
